year,gun,gunShot,knife,cases ,unemploymentRate,petEnrollment,kmtPercentage
94年,374,2600,102,79807,4.2,2288,0.51
95年,316,3770,37,71035,4.1,4344,0.51
96年,286,1921,41,66048,4.1,5723,0.51
97年,247,1935,14,51593,4.2,7322,0.51
98年,185,1823,56,35931,5.9,9261,0.51
99年,171,2268,16,32078,5.4,8467,0.43
100年,167,1456,25,29170,4.4,14055,0.43
101年,147,1250,9,28533,4.2,16191,0.43
102年,157,1726,11,28252,4.1,27015,0.43
103年,256,2351,16,28512,3.9,24003,0.59
104年,196,3081,11,27888,3.8,27047,0.59
105年,436,1973,17,27475,3.8,30853,0.59
106年,195,5071,12,26741,3.7,28200,0.59
107年,240,3448,26,25496,3.7,29196,0.57
108年,136,1598,4,24670,3.7,30389,0.57
